Units in meters/second^2

		LODCM_X 	LODCM_Y 	LODCM_Z	SD_X		SD_Y		SD_Z		XCS_X		XCS_Y		XCS_Z
FEE_truck 	9.9616e-06	3.9338e-06	1.7406e-05	2.1047e-05	6.3397e-05	1.4568e-05	4.7917e-06	8.7635e-05	9.0765e-05
FEE_truck 	1.0414e-05	3.9341e-06	1.8077e-05	2.1591e-05	6.6229e-05	1.4281e-05	4.7789e-06	9.0269e-05	9.2105e-05
FEE_roadHead 	1.0418e-05	4.0338e-06	1.8071e-05	2.2180e-05	6.3516e-05	1.5233e-05	4.7153e-06	7.9939e-05	8.8639e-05
FEE_roadHead	1.0156e-05	3.8536e-06	1.7449e-05	2.1357e-05	6.3322e-05	1.4772e-05	7.0748e-05	8.9965e-05	8.9363e-05
FEE_conDrill 	1.0064e-05	3.8258e-06	1.7381e-05	2.1742e-05	6.0596e-05	1.4808e-05	7.6160e-05	8.7093e-05	8.7423e-05
FEE_backhoe	9.8905e-06	3.8666e-06	1.7318e-05	2.1727e-05	5.7125e-05	1.4944e-05	1.5842e-04	1.5800e-04	1.0032e-04
FEE_jack	1.0170e-05	3.9259e-06	1.7402e-05	2.1400e-05	6.7183e-05	1.4658e-05	7.5715e-05	9.3797e-05	9.5151e-05
FEE_conVib	1.0437e-05	4.0127e-06	1.7694e-05	2.1266e-05	6.8401e-05	1.4802e-05	7.5548e-05	9.0745e-05	9.3425e-05
XRT_truck	1.0426e-05	4.0343e-06	1.8033e-05	2.1782e-05	6.8311e-05	1.4970e-05	7.7709e-05	8.6635e-05	8.9363e-05
XRT_jack	9.8477e-06	3.8733e-06	1.7724e-05	2.3033e-05	6.9430e-05	1.4520e-05	7.3109e-05	8.2881e-05	8.5244e-05
XRT_conDrill	9.9540e-06	3.9056e-06	1.7235e-05	2.1061e-05	6.9680e-05	1.4418e-05	7.2604e-05	8.6959e-05	9.0226e-05
XRT_conVib	9.7277e-06	3.8809e-06	1.6986e-05	2.1322e-05	5.9694e-05	1.4428e-05	7.5717e-05	9.3460e-05	9.2319e-05
XRT_backhoe	1.0726e-05	4.4430e-06	1.8805e-05	2.1600e-05	6.1292e-05	1.4412e-05	8.0273e-05	8.7585e-05	8.9167e-05
XRT_roadHead	9.9530e-06	3.8199e-06	1.7495e-05	2.1428e-05	6.8536e-05	1.4651e-05	7.5379e-05	8.2735e-05	8.6240e-05
BG1		1.0361e-05	3.9825e-06	1.7736e-05	2.1682e-05	6.8191e-05	1.4825e-05	7.6004e-05	8.1802e-05	8.4551e-05
BG2 		9.6146e-06	3.8530e-06	1.6995e-05	2.2091e-05	6.5161e-05	1.4994e-05	8.7708e-05	9.7311e-05	1.0517e-04
BG3 		9.8110e-06	3.8945e-06	1.7393e-05	2.1884e-05	7.1252e-05	1.5062e-05	7.8539e-05	9.3977e-05	1.0179e-04
BG4 		9.9457e-06	3.7909e-06	1.7390e-05	2.1349e-05	6.9035e-05	1.5116e-05	8.6051e-05	8.4177e-05	1.2872e-04
JUMP 		1.0221e-05	4.0203e-06	1.7839e-05	2.2720e-05	6.7335e-05	1.5684e-05	8.9135e-05	8.4899e-05	1.2654e-04

Mean 		1.0110e-05	3.9413e-06	1.7602e-05	2.1698e-05	6.5668e-05	1.4797e-05	7.0690e-05	9.1572e-05	9.5606e-05

Max 		1.0726e-05	4.4430e-06	1.8805e-05	2.3033e-05	7.1252e-05	1.5684e-05	1.5842e-04	1.5800e-04	1.2872e-04
		XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_jack	BG3		JUMP		FEE_backhoe	FEE_backhoe	BG4

Max/Mean	1.0609		1.1273		1.0684		1.0615		1.0850		1.0600		2.2411		1.7254		1.3463
