Units in meters

		LODCM_X 	LODCM_Y 	LODCM_Z	SD_X		SD_Y		SD_Z		XCS_X		XCS_Y		XCS_Z
FEE_truck	1.0212e-09	7.2307e-10	1.7271e-09	2.6435e-09	2.3327e-09	2.3797e-09	4.5753e-09	1.2083e-08	1.1950e-08
FEE_truck 	1.0602e-09	5.6543e-10	1.6344e-09	2.3156e-09	2.1658e-09	1.7866e-09	4.1941e-09	1.1835e-08	1.1618e-08
FEE_roadHead 	9.8784e-10	6.7336e-10	1.8891e-09	2.5181e-09	2.2787e-09	2.2913e-09	4.0433e-09	1.2135e-08	1.2085e-08
FEE_roadHead 	1.0054e-09	6.5625e-10	1.7309e-09	2.4058e-09	2.1329e-09	1.7620e-09	1.8903e-08	1.2230e-08	1.2100e-08
FEE_conDrill 	9.1494e-10	6.2372e-10	1.8483e-09	2.6269e-09	2.2990e-09	2.0534e-09	1.9260e-08	1.2224e-08	1.2614e-08
FEE_backhoe 	9.8769e-10	6.7633e-10	1.8134e-09	2.5054e-09	2.2622e-09	2.0251e-09	1.8703e-08	1.2218e-08	1.1483e-08
FEE_jack 	1.2753e-09	1.0652e-09	1.9806e-09	2.7687e-09	2.5640e-09	2.3895e-09	1.8980e-08	1.2036e-08	1.2163e-08
FEE_conVib 	1.0186e-09	5.9842e-10	1.8533e-09	2.3258e-09	2.2324e-09	1.8452e-09	1.8863e-08	1.2169e-08	1.2528e-08
XRT_truck 	1.6862e-09	9.6797e-10	2.4615e-09	2.7048e-09	2.5770e-09	2.3151e-09	1.7566e-08	1.1727e-08	1.2022e-08
XRT_jack 	1.0817e-09	7.2449e-10	1.9324e-09	2.9039e-09	2.3829e-09	2.0944e-09	1.7756e-08	1.2146e-08	1.1626e-08
XRT_conDrill 	1.1535e-09	7.8854e-10	1.8482e-09	2.7513e-09	2.3916e-09	2.1673e-09	1.7182e-08	1.1868e-08	1.1652e-08
XRT_conVib 	1.2401e-09	7.2646e-10	1.6784e-09	2.3166e-09	2.1024e-09	1.7343e-09	1.7018e-08	1.2007e-08	1.1561e-08
XRT_backhoe 	3.7420e-09	3.1322e-09	5.8632e-09	4.3834e-09	6.2741e-09	4.2174e-09	2.1176e-08	1.2765e-08	1.3491e-08
XRT_roadHead 	1.0588e-09	7.1184e-10	1.8717e-09	2.6176e-09	2.4328e-09	2.2817e-09	2.0012e-08	1.2133e-08	1.1850e-08
BG1 		9.7436e-10	6.0294e-10	1.8291e-09	2.3268e-09	2.2181e-09	2.1806e-09	1.8917e-08	1.1832e-08	1.1899e-08
BG2 		8.9989e-10	5.9868e-10	1.6866e-09	2.4782e-09	2.1340e-09	1.8080e-09	1.6580e-08	1.1226e-08	1.0602e-08
BG3 		9.0082e-10	5.7527e-10	1.8810e-09	2.4397e-09	2.0054e-09	1.9324e-09	1.6658e-08	1.1648e-08	1.1120e-08
BG4 		1.0647e-09	6.4458e-10	1.9739e-09	2.5465e-09	2.1076e-09	2.0217e-09	1.8437e-08	1.2115e-08	1.2522e-08
JUMP 		9.6177e-10	5.5325e-10	1.7583e-09	2.5396e-09	2.2798e-09	1.8854e-09	1.8880e-08	1.1723e-08	1.2446e-08

Mean		1.2124e-09	8.2147e-10	2.0664e-09	2.6378e-09	2.4828e-09	2.1669e-09	1.6195e-08	1.2006e-08	1.1965e-08

Max		3.7420e-09	3.1322e-09	5.8632e-09	4.3834e-09	6.2741e-09	4.2174e-09	2.1176e-08	1.2765e-08	1.3491e-08
		XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe

Max/Mean	3.0865		3.8130		2.8374		1.6618		2.5270		1.9463		1.3076		1.0632		1.1275
