		LODCM_X 	LODCM_Y 	LODCM_Z		SD_X		SD_Y		SD_Z		XCS_Y		XCS_Z		XCS_X
FEE_truck	1.0605e-05	4.4661e-06	1.7474e-05	2.1075e-05	6.3405e-05	1.4582e-05	8.7642e-05	9.0771e-05	8.1056e-06
FEE_truck	1.0562e-05	4.0515e-06	1.8107e-05	2.1611e-05	6.6234e-05	1.4291e-05	9.0276e-05	9.211e-05	8.0815e-06
FEE_roadHead	1.0599e-05	4.1759e-06	1.8105e-05	2.22e-05	6.3522e-05	1.5246e-05	7.9947e-05	8.8645e-05	8.5458e-06
FEE_roadHead 	1.0435e-05	4.1552e-06	1.7533e-05	2.1392e-05	6.3334e-05	1.4793e-05	8.998e-05	8.9369e-05	7.0801e-05
FEE_conDrill	1.0307e-05	4.046e-06	1.7431e-05	2.1765e-05	6.0605e-05	1.4817e-05	8.7101e-05	8.7427e-05	7.6197e-05
FEE_backhoe	1.0096e-05	4.0134e-06	1.735e-05	2.1742e-05	5.713e-05	1.4952e-05	0.000158	0.00010033	0.00015843
FEE_jack	1.0376e-05	4.1253e-06	1.7455e-05	2.1429e-05	6.7192e-05	1.4675e-05	9.3804e-05	9.5159e-05	7.5753e-05
FEE_conVib	1.0792e-05	4.3672e-06	1.7761e-05	2.1297e-05	6.8407e-05	1.4811e-05	9.0754e-05	9.3432e-05	7.5596e-05
XRT_truck	1.0576e-05	4.1718e-06	1.8085e-05	2.1817e-05	6.8318e-05	1.4984e-05	8.6641e-05	8.937e-05	7.7755e-05
XRT_jack	1.0165e-05	4.151e-06	1.7785e-05	2.3063e-05	6.9437e-05	1.4537e-05	8.2897e-05	8.5252e-05	7.3153e-05
XRT_conDrill	1.0644e-05	4.3404e-06	1.7321e-05	2.1089e-05	6.9698e-05	1.4442e-05	8.6973e-05	9.0234e-05	7.2641e-05
XRT_conVib	1.0005e-05	4.0505e-06	1.7034e-05	2.135e-05	5.9702e-05	1.4438e-05	9.3465e-05	9.2325e-05	7.5753e-05
XRT_backhoe	1.1463e-05	4.8494e-06	1.9084e-05	2.1797e-05	6.1374e-05	1.4474e-05	8.7628e-05	8.9185e-05	8.0358e-05
XRT_roadHead	1.0118e-05	4.0731e-06	1.7564e-05	2.1456e-05	6.855e-05	1.4676e-05	8.2749e-05	8.6251e-05	7.5408e-05
BG1		1.0654e-05	4.2012e-06	1.7782e-05	2.1713e-05	6.8197e-05	1.484e-05	8.1809e-05	8.4561e-05	7.6039e-05
BG2		9.9492e-06	4.2294e-06	1.7078e-05	2.2134e-05	6.517e-05	1.5011e-05	9.7317e-05	0.00010517	8.7735e-05
BG3		1.0456e-05	4.4251e-06	1.7454e-05	2.1904e-05	7.1255e-05	1.5069e-05	9.3983e-05	0.00010179	7.8563e-05
BG4		1.0071e-05	3.9134e-06	1.7423e-05	2.1373e-05	6.904e-05	1.5125e-05	8.4182e-05	0.00012872	8.6071e-05
JUMP		1.042e-05	4.1766e-06	1.7871e-05	2.2734e-05	6.734e-05	1.569e-05	8.491e-05	0.00012654	8.9167e-05
