Units in meters/second

		LODCM_X 	LODCM_Y 	LODCM_Z	SD_X		SD_Y		SD_Z		XCS_X		XCS_Y		XCS_Z
FEE_truck	1.4944e-07	8.4877e-08	2.7841e-07	5.2159e-07	6.3922e-07	3.4661e-07	3.9004e-07	1.6161e-06	1.6379e-06
FEE_truck 	1.5498e-07	7.5642e-08	2.7323e-07	5.0033e-07	6.4939e-07	3.0126e-07	3.6959e-07	1.6210e-06	1.6325e-06
FEE_roadHead 	1.5112e-07	8.2664e-08	2.9240e-07	5.3613e-07	6.5826e-07	3.5584e-07	3.5679e-07	1.5911e-06	1.6769e-06
FEE_roadHead 	1.4647e-07	7.9335e-08	2.6730e-07	4.9914e-07	6.6338e-07	3.1924e-07	2.2971e-06	1.6059e-06	1.6081e-06
FEE_conDrill 	1.4106e-07	7.9005e-08	2.8196e-07	5.4388e-07	6.4135e-07	3.3394e-07	2.4737e-06	1.6894e-06	1.7961e-06
FEE_backhoe 	1.5505e-07	8.0750e-08	3.0181e-07	5.3891e-07	6.3238e-07	3.4198e-07	2.4534e-06	1.6874e-06	1.6054e-06
FEE_jack 	1.6396e-07	1.0825e-07	2.9612e-07	5.1701e-07	6.6316e-07	3.3549e-07	2.3806e-06	1.6141e-06	1.6267e-06
FEE_conVib 	1.5397e-07	7.8333e-08	2.9171e-07	4.8296e-07	6.6905e-07	3.1870e-07	2.4634e-06	1.6448e-06	1.7244e-06
XRT_truck 	2.1344e-07	1.0676e-07	3.6303e-07	5.3032e-07	7.2700e-07	3.4550e-07	2.2768e-06	1.6086e-06	1.6924e-06
XRT_jack 	1.5147e-07	8.2783e-08	2.9199e-07	5.9888e-07	7.1275e-07	3.2438e-07	2.2975e-06	1.6339e-06	1.5708e-06
XRT_conDrill 	1.6197e-07	8.7290e-08	2.8741e-07	5.1733e-07	6.8903e-07	3.2020e-07	2.2651e-06	1.6274e-06	1.6379e-06
XRT_conVib 	1.4884e-07	8.0436e-08	2.6326e-07	5.0099e-07	6.3693e-07	3.1109e-07	2.2095e-06	1.6463e-06	1.6129e-06
XRT_backhoe 	3.4966e-07	2.5720e-07	5.9109e-07	6.2114e-07	7.8941e-07	4.3497e-07	2.6988e-06	1.7080e-06	1.7546e-06
XRT_roadHead 	1.4571e-07	8.2105e-08	2.7200e-07	5.1438e-07	7.3693e-07	3.4044e-07	2.5210e-06	1.6220e-06	1.5835e-06
BG1 		1.5158e-07	8.1234e-08	2.8686e-07	5.1508e-07	7.0614e-07	3.3928e-07	2.4698e-06	1.6488e-06	1.6160e-06
BG2 		1.3799e-07	7.6716e-08	2.6906e-07	5.4373e-07	6.5675e-07	3.1091e-07	2.4859e-06	1.6457e-06	1.5900e-06
BG3 		1.3904e-07	7.4080e-08	2.8055e-07	5.1988e-07	7.0994e-07	3.2010e-07	2.3372e-06	1.6271e-06	1.5887e-06
BG4 		1.6681e-07	7.9341e-08	3.1984e-07	5.2394e-07	7.0041e-07	3.2458e-07	2.4663e-06	1.6476e-06	1.8351e-06
JUMP 		1.4967e-07	7.8934e-08	2.9142e-07	5.6528e-07	7.1704e-07	3.4153e-07	2.6319e-06	1.6891e-06	1.8827e-06

Mean		1.6485e-07	9.2407e-08	3.0523e-07	5.3110e-07	6.8413e-07	3.3506e-07	2.0971e-06	1.6408e-06	1.6670e-06

Max		3.4966e-07	2.5720e-07	5.9109e-07	6.2114e-07	7.8941e-07	4.3497e-07	2.6988e-06	1.7080e-06	1.8827e-06
		XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	XRT_backhoe	JUMP

Max/Mean	2.1210		2.7833		1.9365		1.1695		1.1539		1.2982		1.2869		1.0410		1.1294
